id,text
1.34e+18,Same folks said daikon paste could treat a cytokine storm #PfizerBioNTech https://t.co/xeHhIMg1kF
1.34e+18,"While the world has been on the wrong side of history this year, hopefully, the biggest vaccination effort we've ev"
1.34e+18,#coronavirus #SputnikV #AstraZeneca #PfizerBioNTech #Moderna #Covid_19 Russian vaccine is created to last 2-4 years
1.34e+18,"Facts are immutable, Senator, even when you're not ethically sturdy enough to acknowledge them. (1) You were born i"
1.34e+18,Explain to me again why we need a vaccine @BorisJohnson @MattHancock #whereareallthesickpeople #PfizerBioNTech
1.34e+18,Does anyone have any useful advice/guidance for whether the COVID vaccine is safe whilst breastfeeding?
1.34e+18,"it is a bit sad to claim the fame for success of #vaccination on patriotic competition between USA, Canada, UK and"
1.34e+18,There have not been many bright days in 2020 but here are some of the best 
1.34e+18,Covid vaccine; You getting it?
1.34e+18,#CovidVaccine 
1.34e+18,"while deaths are closing in on the 300,000 mark... millions of people wait #PfizerBioNTech #Vaccine !"
1.34e+18,@cnnbrk #COVID19 #CovidVaccine #vaccine #Corona   #PfizerBioNTech #bbcnews #NYTimes #BBCNews Best wishes to the US
1.34e+18,The agency also released new information for health care providers and for patients as the US shipped millions of d
1.34e+18,For all the women and healthcare providers who have been asking about the safety of the #PfizerBioNTech
1.34e+18,"Expect 145 sites across all the states to receive vaccine on Monday, another 425 sites on Tuesday, said the offic"
1.34e+18,Trump announces #vaccine rollout 'in less than 24 hours'
1.34e+18,UPDATED: #YellowFever &amp; #COVID19 #ImmunityPassports - Part Two
1.34e+18,"Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours #Iran #coronavirus #PfizerBioNTech"
1.34e+18,.@Pfizer will rake in billions from its expensive #CovidVaccine but @AlbertBourla refuses to cut the price for lowe
1.34e+18,"The trump administration failed to deliver on vaccine promises, *shocker* #COVIDIOTS #coronavirus #CovidVaccine"
1.34e+18,How much did the #fda get paid to approve this all of a sudden now? money makes the world go around. #vaccine
1.34e+18,Anyone wondering why day after #PfizerBioNTech approval in the UK people were getting vaccinated but all we are tol
1.34e+18,Trump announces #vaccine rollout 'in less than 24 hours'
1.34e+18,The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's mRNA
1.34e+18,Presenting you the top Medical News/Advancement of the past week you don't want to miss!
1.34e+18,No.1 of 2 done.
1.34e+18,"Wear a mask, wash your hands, and remain socially distant when possible. #stayhome #StayAtHome #StayAtHomeSaveLives"
1.34e+18,"Interesting and very detailed article showing up how a well tested #supplychain, with #sharedvisibility will help d"
1.34e+18,💉 #Vaccine #TrumpVaccine #AstraZeneca #PfizerBioNTech #Pfizervaccine #PfizerCovidVaccine  #Pfizer's COVID-19 belong
1.34e+18,@ZubyMusic 6 deaths so far. 
1.34e+18,@sbnumb3 @nytimes Please don
1.34e+18,#ICYMI The #FDA Authorized the #PfizerBioNTech #COVID19 #Vaccine for the United States last night
1.34e+18,All respect to due process but why not give approval now instead of the 29th of December. Surely multiple other cou
1.34e+18,Vaccine!! Anyone?? #covid #Pfizervaccine #PfizerBioNTech https://t.co/b9ZKwnlIkX
1.34e+18,An immigrant Muslim couple find the COVID-19 Vaccine. 
1.34e+18,"The #FDA finally issues #EUA now comes the problem transporting this #PfizerBioNTech vaccine, needs to be kept at -"
1.34e+18,"Ladies and Gentlemen, now we have #CovidVaccine experts in each and every household of #Pakistan #PfizerBioNTech #oxfordvaccine 🤦"
1.34e+18,FACT SHEET FOR HEALTHCARE PROVIDERS ADMINISTERING VACCINE
1.34e+18,@mirekR9 @sputnikvaccine @AstraZeneca check out table 23 of this and other tables too because it took the penny a w
1.34e+18,@mirekR9 @sputnikvaccine @AstraZeneca it's the only one which doesn't have any side effects 
1.34e+18,FACT SHEET FOR RECIPIENTS AND CAREGIVERS
1.34e+18,#CovidVaccine #Pfizer-BioNTech COVID-19 #PfizerBioNTech #COVID19 #CapeTown https://t.co/uCpwv0S4nl
1.34e+18,Trump announces #vaccine rollout 'in less than 24 hours'
1.34e+18,#FDA authorizes #PfizerBioNTech #coronavirus vaccine for emergency use
1.34e+18,When The #CovidVaccine 
1.34e+18,@realDonaldTrump Dairy dose of dumbsville by #DonTheCon #GrifterInChief #TrumpForPrison #TrumpCrimeFamily #COVID
1.34e+18,The US #FDA has approved two #coronavirus vaccines: #PfizerBioNTech &amp; #Moderna. Over 200 #vaccines are being develo
1.34e+18,"As @EMA_News gets set to approve #PfizerBioNTech #vaccine, roll-out preparations pick up pace across #EU. Meanwhile"
1.34e+18,COVID-19: News and updates
1.34e+18,Tragedy. Another life taken by corporate greed and the evil pharmaceutical companies. #vaccination #vaccine
1.34e+18,I
1.34e+18,Building on last week
1.34e+18,The first COVID-19 vaccine doses have arrived in Oregon.  
1.34e+18,#Iran has told the World Health Organization it does not intend to import the #PfizerBioNTech Covid-19 #vaccine bec
1.34e+18,Concerned about the side effects of the #PfizerBioNTech #COVID19 vaccine?  Check out my recap 👇🏼 https://t.co/P6yfRwS3Fq
1.34e+18,"Such a great feeling. A big thank you to all the healthcare professionals; scientists, nurses, doctors, caregivers."
1.34e+18,Members of the @teamsters delivered the first #COVID19Vaccine this morning
1.34e+18,Getting my first dose of the #PfizerBioNTech #CovidVaccine next weekend and seeing this #UNBOXING just made it so r
1.34e+18,Will you be taking the COVID-19 vaccine once available to you? #COVID19 #Pfizer #BioNTech #vaccine #PfizerBioNTech
1.34e+18,"@FarAndWide @erinotoole @MichelleRempel That Rempel-Trudeau exchange had to be seen to be believed. (I saw it, too)"
1.34e+18,#PfizerBioNTech New York state administered its first non-trial vaccine this morning to a health care worker. The P
1.34e+18,@CPHO_Canada #PfizerBioNTech = Female Sterilization 💥💥💥
1.34e+18,@CPHO_Canada Key #crushCovid milestone achieved with shutting down &amp; #CoverUp of #PfizerBioNTech      untested No L
1.34e+18,#INBOX | @GovParsonMO says shipments of the #PfizerBioNTech vaccine will continue to ship to Missouri
1.34e+18,@NYGovCuomo @CMargaronis @pfizer @UPS ?? #PfizerBioNTech are Germany based. ?..lets just hope the small numbers are
1.34e+18,"ICU nurse Sandra Lindsay said she was 'very proud,' after becoming one of the first Americans to receive the Pfizer"
1.34e+18,@FarAndWide @erinotoole @MichelleRempel :: Screenshot #2 of that #QP exchange ::
1.34e+18,@MeghanMcCain As a physician currently with covid I cried.  #VaccinesSaveLives #PfizerBioNTech
1.34e+18,"@dwain_campbell Unfortunately, Hansard does not capture all the aggro finger-pointing and desk-thumping that were/a"
1.34e+18,"@CdnAdvocacy Hallo, the unroll you asked for: @CdnAdvocacy: 1- #UK #NHS #MHRA Updated #COVIDvaccine clinical guidel"
1.34e+18,"@fordnation Odd verb choice there, Doug."
1.34e+18,"The first Ontarian was vaccinated just minutes later. A PSW, Anita Quidangen in Toronto."
1.34e+18,@PattyHajdu Would  you take the vaccine?
1.34e+18,"Over the weekend, the #FAA issued guidance for pilots following use of the new #PfizerBioNTech #vaccine for"
1.34e+18,#UgurSahin #ozlemtureci the #Muslim Scientists Husband-Wife are saving the world with their #PfizerBioNTech
1.34e+18,Surprised to learn those with autoimmune conditions or otherwise immunosuppressed are advised not to receive the
