purpose,installment,dti
debt_consolidation,829.1,19.48
credit_card,228.22,14.29
debt_consolidation,366.86,11.63
debt_consolidation,162.34,8.1
credit_card,102.92,14.97
credit_card,125.13,16.98
debt_consolidation,194.02,4
all_other,131.22,11.08
home_improvement,87.19,17.25
debt_consolidation,84.12,10
debt_consolidation,360.43,22.09
debt_consolidation,253.58,9.16
debt_consolidation,316.11,15.49
small_business,92.82,6.5
debt_consolidation,209.54,9.73
major_purchase,327.53,13.04
all_other,77.69,2.26
credit_card,476.58,7.07
debt_consolidation,584.12,3.8
major_purchase,173.65,2.74
all_other,188.02,16.08
all_other,474.42,2.59
credit_card,339.6,7.94
credit_card,484.85,7.05
debt_consolidation,320.19,8.8
all_other,159.03,10
all_other,155.38,0.28
debt_consolidation,255.43,14.29
all_other,155.38,0.28
all_other,155.38,3.72
debt_consolidation,156.84,2.3
credit_card,275.38,6.4
home_improvement,155.38,0
home_improvement,78.42,11.33
credit_card,158.3,15.55
all_other,155.38,3.83
credit_card,155.38,0.31
credit_card,164.23,1.21
debt_consolidation,161.25,8.03
home_improvement,159.77,11.93
home_improvement,156.84,5.55
debt_consolidation,155.38,2.29
small_business,94.98,14.54
home_improvement,97.2,0
credit_card,164.23,18.64
credit_card,167.02,14.37
educational,168.6,3
all_other,160.72,14.78
credit_card,159.03,9.96
debt_consolidation,178.69,0.27
credit_card,155.38,1.12
small_business,323.98,10.7
small_business,813.65,4.05
educational,112.87,16.44
debt_consolidation,94.88,12.57
small_business,398.69,17.12
credit_card,39.6,2.04
credit_card,678.08,10.15
credit_card,401.37,15
all_other,205.45,7.72
debt_consolidation,397.75,7.14
all_other,155.38,2.55
all_other,113.39,1.5
debt_consolidation,99.44,7.47
credit_card,109.79,8.52
all_other,32.55,14.47
all_other,112.87,11.06
debt_consolidation,160.51,8.55
debt_consolidation,340.57,17.38
home_improvement,156.11,6.48
credit_card,155.38,4.56
home_improvement,235.25,2.72
debt_consolidation,257.99,15.13
small_business,225.37,6.45
home_improvement,80.26,20
home_improvement,84,20
debt_consolidation,507.46,13.5
educational,124.31,3.45
credit_card,63.32,6.07
all_other,130.79,18
home_improvement,93.67,2.14
all_other,93.67,5.35
all_other,88.65,15
all_other,128.41,15
home_improvement,94.98,12.23
debt_consolidation,179.8,7.1
credit_card,444.05,19.52
all_other,124.89,3.46
credit_card,644.3,5.24
small_business,642.02,2.86
small_business,104.76,12.24
debt_consolidation,157.66,12.36
debt_consolidation,383.87,4.8
credit_card,217.6,18
all_other,297.99,3.49
debt_consolidation,156.11,5
debt_consolidation,329.95,20
all_other,313.67,0.72
all_other,297.99,2.44
home_improvement,239.65,9.66
debt_consolidation,61.87,0.43
all_other,94.47,2.8
small_business,73.68,16.89
home_improvement,313.67,5.84
debt_consolidation,543.2,9.55
home_improvement,313.67,3.11
credit_card,266.37,10.2
debt_consolidation,210.6,5.87
all_other,234.15,5.01
debt_consolidation,323.99,14.4
credit_card,235.96,7.22
debt_consolidation,352.22,17.83
all_other,117.31,0
debt_consolidation,64.96,0.22
small_business,699.69,1.53
educational,195.27,8.15
credit_card,295.59,22.15
small_business,217.59,18.38
debt_consolidation,263.09,9.8
debt_consolidation,248.43,20.76
credit_card,194.4,10.6
debt_consolidation,301.04,5.08
all_other,163.92,2.64
all_other,150.66,3.26
debt_consolidation,217.59,13.77
home_improvement,85.23,20.67
all_other,328.43,20.4
all_other,165.47,12
debt_consolidation,140.6,9.87
all_other,98.01,9.13
small_business,166.48,0
small_business,284.32,6.38
small_business,194.15,2.4
all_other,138.51,24.81
debt_consolidation,70.25,14.4
credit_card,252.1,9.71
all_other,263.19,12.16
all_other,104.65,3.83
debt_consolidation,172.53,6.29
credit_card,38.7,1.13
educational,100.35,12.77
debt_consolidation,335.98,18.92
all_other,163.49,11.78
all_other,32.25,5.83
educational,96.75,15.4
all_other,72.42,8.14
small_business,90.68,18
all_other,259.58,9.89
all_other,169.32,17.57
credit_card,205.4,17.76
debt_consolidation,162.01,16.87
debt_consolidation,226.8,10.05
all_other,162.73,24.4
debt_consolidation,158.38,18.19
small_business,795.11,8.93
debt_consolidation,158.83,4.84
all_other,97.2,19.93
debt_consolidation,263.97,8.04
small_business,404.62,16.39
all_other,307.53,9.09
debt_consolidation,839.95,24.85
all_other,269.31,24.01
debt_consolidation,265.18,11.31
home_improvement,802.47,0.8
debt_consolidation,505.16,16.97
home_improvement,318.05,2.97
educational,315.12,4.2
all_other,130.79,8.92
debt_consolidation,227.82,8.5
credit_card,643.36,13.07
all_other,51.78,3.84
educational,572.48,15.37
all_other,149.87,6.34
all_other,96.75,11.98
home_improvement,92.8,0
credit_card,192.09,19.82
all_other,593.92,10.8
